id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
611607,Batignolles-Monceau,48.88232,2.28825,364,0,,2,1960.65290796167,230.0,dec_2024
614987,Louvre,48.86292,2.33467,254,491,3.29,2,416.1086646699526,91.0,dec_2024
615031,Temple,48.86172,2.36146,310,53,0.36,3,1022.0261157924933,250.0,dec_2024
615069,Louvre,48.8629,2.33471,227,476,3.18,2,414.8140208413059,340.0,dec_2024
619009,Buttes-Montmartre,48.88541,2.3412,185,49,0.36,4,2880.043028545729,95.0,dec_2024
620666,Luxembourg,48.85340118408203,2.3340768814086914,103,147,0.99,4,589.4010923807367,135.0,dec_2024
621838,Popincourt,48.85817,2.37757,27,21,0.14,3,1464.9155444382984,80.0,dec_2024
622120,Buttes-Montmartre,48.89256,2.3443,280,192,1.32,7,3698.211393886577,165.0,dec_2024
629392,Palais-Bourbon,48.85758209228516,2.3002688884735107,28,168,1.2,3,612.2789889516358,130.0,dec_2024
631325,Ménilmontant,48.85712,2.40368,64,92,0.65,4,2952.006033720489,130.0,dec_2024
642234,Ménilmontant,48.8613,2.40194,57,7,0.05,5,3165.0164725808418,65.0,dec_2024
650980,Popincourt,48.86389,2.36664,143,249,1.67,3,1413.674777040896,85.0,dec_2024
653458,Temple,48.8655,2.35835,307,281,1.99,4,1253.3891017503945,116.0,dec_2024
657739,Vaugirard,48.83604820431851,2.297264814376847,364,64,0.44,3,1976.1574678562235,165.0,dec_2024
661277,Temple,48.86184,2.3614,45,424,2.85,1,1031.7982236184841,92.0,dec_2024
793331,Popincourt,48.86479,2.3763,332,119,1.13,5,1877.658316180339,90.0,dec_2024
794142,Popincourt,48.85195562361598,2.3764703795313835,127,38,0.26,7,1081.3796986472107,180.0,dec_2024
795097,Buttes-Montmartre,48.88696,2.34716,159,133,0.93,3,3227.2375084178466,127.0,dec_2024
740902,Popincourt,48.85637,2.36916,289,55,0.5,6,841.2367371870472,165.0,dec_2024
741956,Buttes-Chaumont,48.87995189262799,2.391772784379834,348,7,0.3,4,3904.3754985598016,100.0,dec_2024
745338,Luxembourg,48.8547,2.33915,113,165,1.14,5,229.84894452197688,90.0,dec_2024
748212,Reuilly,48.85007,2.37281,346,115,0.79,5,741.3418793878235,110.0,dec_2024
748255,Popincourt,48.86729,2.37416,252,75,0.51,4,2011.489382779127,106.0,dec_2024
749135,Ménilmontant,48.87256,2.40578,87,186,1.26,5,4072.2775548718582,70.0,dec_2024
751281,Buttes-Montmartre,48.88957,2.34256,313,124,0.87,2,3342.9176877102054,350.0,dec_2024
753328,Popincourt,48.85143,2.37836,271,17,0.12,2,1145.7212393737557,290.0,dec_2024
753923,Batignolles-Monceau,48.87712,2.29232,314,106,0.73,5,1619.829181789423,150.0,dec_2024
756756,Passy,48.86319,2.28928,322,317,2.22,3,383.38073976625776,111.0,dec_2024
757733,Louvre,48.8552,2.34329,156,81,0.57,6,42.57562006651982,250.0,dec_2024
759592,Popincourt,48.85574722290039,2.383047103881836,344,108,0.93,2,1722.1632259571197,140.0,dec_2024
759620,Hôtel-de-Ville,48.85373,2.36392,109,59,0.42,5,358.0749220143289,230.0,dec_2024
759971,Passy,48.85847091674805,2.2804670333862305,127,21,3.73,3,542.7652264596761,230.0,dec_2024
761399,Hôtel-de-Ville,48.85959,2.35129,345,178,1.22,2,432.1753296824567,250.0,dec_2024
761460,Buttes-Chaumont,48.87612,2.37985,358,14,0.11,6,3070.66222263909,189.0,dec_2024
761666,Buttes-Montmartre,48.8849,2.33176,362,45,0.31,2,2552.8248595172063,315.0,dec_2024
765047,Luxembourg,48.84625,2.31976,90,76,0.53,5,1711.8866997709506,140.0,dec_2024
767885,Entrepôt,48.88186,2.36105,187,35,0.25,4,2983.5631651638746,300.0,dec_2024
770300,Buttes-Montmartre,48.88436,2.34311,352,85,0.7,4,2833.8914555899973,150.0,dec_2024
770730,Temple,48.86055,2.36126,289,177,1.21,2,899.9973137283033,210.0,dec_2024
772894,Observatoire,48.84170913696289,2.3287150859832764,291,36,0.25,1,1794.8158812588076,200.0,dec_2024
773466,Popincourt,48.85567474365234,2.3825578689575195,354,75,0.72,2,1689.991100155065,130.0,dec_2024
778179,Buttes-Montmartre,48.887306213378906,2.345911026000977,350,147,1.01,2,3218.725713779005,120.0,dec_2024
781217,Popincourt,48.85843504856512,2.369410989898979,215,156,1.07,1,1013.8221443628133,225.0,dec_2024
782562,Buttes-Montmartre,48.88707,2.34989,364,7,0.46,1,3297.6363706548805,17.0,dec_2024
784846,Panthéon,48.84141540527344,2.34926700592041,286,154,1.06,4,1125.0391352513,300.0,dec_2024
784863,Hôtel-de-Ville,48.85417175292969,2.3661890029907227,345,117,0.81,3,520.3919585768646,240.0,dec_2024
786714,Hôtel-de-Ville,48.86034,2.35425,237,191,1.32,5,605.5752701863406,195.0,dec_2024
792159,Popincourt,48.8532,2.37784,323,117,0.82,3,1248.450506100164,145.0,dec_2024
871615,Entrepôt,48.8765,2.35011,64,58,0.41,5,2166.8534508629195,275.0,dec_2024
873165,Batignolles-Monceau,48.88697,2.31153,68,52,1.27,2,2583.3080820422983,170.0,dec_2024
877645,Popincourt,48.86112,2.37427,15,83,0.59,7,1475.6843025683124,360.0,dec_2024
796422,Popincourt,48.86186,2.38266,266,161,2.18,2,2000.5193637203322,99.0,dec_2024
803591,Buttes-Chaumont,48.87778472900391,2.3747670650482178,260,54,0.51,2,3051.091563486493,90.0,dec_2024
808478,Buttes-Montmartre,48.88642,2.34708,144,54,0.38,7,3171.794107129795,100.0,dec_2024
809619,Entrepôt,48.87972,2.35792,322,152,1.07,3,2683.2394777532318,100.0,dec_2024
809731,Vaugirard,48.83883,2.28954,363,22,0.25,6,1350.0016496564008,350.0,dec_2024
810543,Louvre,48.86582,2.33274,58,83,0.59,1,658.0944930014527,204.0,dec_2024
815987,Temple,48.86347,2.36387,201,122,0.84,5,1276.4798748808867,300.0,dec_2024
816102,Popincourt,48.86751,2.37557,350,78,0.55,5,2087.828239712788,290.0,dec_2024
826329,Buttes-Montmartre,48.896392822265625,2.333127021789551,70,12,0.95,3,3797.0895358732387,100.0,dec_2024
828480,Ménilmontant,48.874977111816406,2.39375901222229,103,95,0.65,4,3577.426659550725,150.0,dec_2024
830294,Temple,48.86238,2.35233,154,55,0.38,2,746.3798573382221,200.0,dec_2024
830606,Ménilmontant,48.86381,2.407,61,151,1.04,5,3627.8212637822835,60.0,dec_2024
833785,Reuilly,48.84734,2.40059,352,47,0.33,6,2121.140711208718,250.0,dec_2024
