id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
476468,Popincourt,48.86084,2.37873,2,140,0.92,7,1700.5338908140595,120.0,mars_2025
478380,Reuilly,48.84345,2.386,75,51,0.33,6,1001.4124889185597,93.0,mars_2025
479634,Panthéon,48.84001,2.34101,263,71,0.46,4,1493.3444201784007,100.0,mars_2025
479926,Bourse,48.86407,2.34869,65,332,2.13,3,818.6269432936406,130.0,mars_2025
486138,Louvre,48.85941,2.34486,10,115,0.77,1,239.2177182126509,125.0,mars_2025
486547,Entrepôt,48.87381,2.35145,205,464,3.0,3,1911.5333492595619,150.0,mars_2025
489419,Opéra,48.88092,2.34441,131,165,1.07,6,2538.285611217383,190.0,mars_2025
495927,Luxembourg,48.85653,2.33766,301,66,0.47,4,154.01998350930384,100.0,mars_2025
497821,Palais-Bourbon,48.85259,2.31288,323,111,0.72,4,1231.8059765315215,220.0,mars_2025
502895,Entrepôt,48.87325,2.35321,279,176,1.16,2,1891.9070557981875,245.0,mars_2025
503231,Batignolles-Monceau,48.87797,2.29403,266,253,1.66,3,1675.1224264155107,100.0,mars_2025
503497,Buttes-Chaumont,48.876929,2.391641,269,11,0.09,3,3635.0128179704134,320.0,mars_2025
505610,Gobelins,48.83201,2.36715,305,172,1.11,3,865.7194356707795,120.0,mars_2025
507108,Observatoire,48.83106,2.32642,121,29,0.2,2,2883.44291754829,300.0,mars_2025
507255,Buttes-Montmartre,48.884125,2.34065,256,230,1.59,5,2733.480141691275,96.0,mars_2025
510983,Ménilmontant,48.87131,2.39592,272,151,0.98,7,3412.8960494570265,120.0,mars_2025
518650,Popincourt,48.8503,2.39179,118,227,1.5,5,1796.2743263475552,60.0,mars_2025
518742,Luxembourg,48.85164,2.33903,251,231,1.49,2,461.63656300457467,155.0,mars_2025
522835,Ménilmontant,48.87057,2.39617,308,29,0.19,5,3374.9245778168342,100.0,mars_2025
524896,Entrepôt,48.87972,2.36527,294,432,2.79,3,2893.2979950363865,90.0,mars_2025
528769,Hôtel-de-Ville,48.86158,2.35048,40,67,0.47,3,603.1550709251885,77.0,mars_2025
529549,Observatoire,48.82643,2.32947,363,105,0.68,4,3224.283993782138,97.0,mars_2025
529711,Buttes-Montmartre,48.88685,2.34494,338,60,0.41,3,3141.579319861925,120.0,mars_2025
534650,Bourse,48.86723,2.35212,284,563,3.64,2,1231.1595071537333,80.0,mars_2025
536653,Passy,48.86212,2.28226,364,15,0.18,4,711.2395350680447,285.0,mars_2025
537192,Observatoire,48.82789,2.31624,157,42,0.27,3,3574.918371970722,135.0,mars_2025
537443,Vaugirard,48.8531,2.28877,352,198,1.29,4,204.69562730991726,120.0,mars_2025
538767,Entrepôt,48.87271,2.36037,16,129,0.84,3,2035.783791917733,130.0,mars_2025
539800,Hôtel-de-Ville,48.85956112864351,2.355532422801024,148,142,1.0,1,582.1641345096082,350.0,mars_2025
540366,Batignolles-Monceau,48.89079,2.32146,290,34,0.23,5,3021.167323568007,79.0,mars_2025
591988,Popincourt,48.85636,2.36954,364,120,0.94,4,862.3423321044236,200.0,mars_2025
595610,Panthéon,48.8443,2.35608,5,291,1.91,6,600.6045333462961,210.0,mars_2025
598010,Temple,48.86241,2.35197,103,33,0.22,2,736.4087637857007,90.0,mars_2025
599179,Buttes-Montmartre,48.8932,2.34574,258,106,0.69,5,3806.580999724013,119.0,mars_2025
599419,Hôtel-de-Ville,48.86022,2.3511,88,207,1.35,2,490.55811182109613,140.0,mars_2025
602805,Hôtel-de-Ville,48.85564,2.36743,234,167,1.19,4,691.7771134912075,210.0,mars_2025
607141,Batignolles-Monceau,48.88868129999999,2.3194354,365,2,0.28,1,2775.5871882971696,200.0,mars_2025
611387,Opéra,48.88256,2.3317,332,89,0.59,3,2308.793028708973,127.0,mars_2025
611607,Batignolles-Monceau,48.88232,2.28825,364,0,,2,1960.65290796167,230.0,mars_2025
614987,Louvre,48.86292,2.33467,5,511,3.35,2,416.1086646699526,91.0,mars_2025
615069,Louvre,48.8629,2.33471,212,487,3.19,2,414.8140208413059,340.0,mars_2025
761666,Opéra,48.88377,2.33212,362,45,0.3,2,2445.8030734401586,315.0,mars_2025
765047,Luxembourg,48.8476,2.31979,5,79,0.54,5,1576.9353668571146,140.0,mars_2025
770300,Opéra,48.88265,2.34309,346,85,0.69,4,2663.7834179540346,150.0,mars_2025
770730,Temple,48.86055,2.36126,233,181,1.21,2,899.9973137283033,230.0,mars_2025
772894,Observatoire,48.84170913696289,2.3287150859832764,249,39,0.27,1,1794.8158812588076,200.0,mars_2025
773466,Popincourt,48.85567474365234,2.3825578689575195,325,75,0.7,2,1689.991100155065,120.0,mars_2025
778179,Buttes-Montmartre,48.887306213378906,2.345911026000977,359,150,1.01,5,3218.725713779005,120.0,mars_2025
780909,Palais-Bourbon,48.85641,2.30854,28,88,0.61,2,801.9477666734845,190.0,mars_2025
782562,Buttes-Montmartre,48.88729,2.35149,351,7,0.39,1,3348.8761590839244,90.0,mars_2025
784846,Panthéon,48.84141540527344,2.34926700592041,174,155,1.05,4,1125.0391352513,300.0,mars_2025
786714,Hôtel-de-Ville,48.86034,2.35425,207,200,1.36,5,605.5752701863406,195.0,mars_2025
631325,Ménilmontant,48.85586,2.40419,135,94,0.65,4,2893.4276480452263,130.0,mars_2025
642234,Ménilmontant,48.8613,2.40194,58,7,0.05,5,3165.0164725808418,65.0,mars_2025
650980,Popincourt,48.86389,2.36664,81,253,1.66,4,1413.674777040896,95.0,mars_2025
652430,Popincourt,48.85377,2.3799,58,182,1.6,3,1403.4965564097524,170.0,mars_2025
653458,Temple,48.8655,2.35835,229,285,1.98,4,1253.3891017503945,116.0,mars_2025
657739,Vaugirard,48.83604820431851,2.297264814376847,364,64,0.43,3,1976.1574678562235,195.0,mars_2025
661277,Temple,48.86184,2.3614,126,425,2.8,1,1031.7982236184841,92.0,mars_2025
670289,Temple,48.85762,2.36642,62,134,0.9,3,801.933944287633,378.0,mars_2025
673532,Passy,48.839085,2.256316,85,221,1.46,2,721.8569801449008,170.0,mars_2025
675260,Popincourt,48.85775,2.37726,166,89,0.59,2,1422.1834191002313,75.0,mars_2025
677231,Panthéon,48.85184,2.34644,237,411,2.71,3,157.9754720672899,350.0,mars_2025
681316,Passy,48.86832,2.28858,36,46,0.54,2,857.2362987766726,120.0,mars_2025
686977,Temple,48.86259,2.36457,322,201,1.33,4,1214.3545190444418,100.0,mars_2025
809619,Entrepôt,48.87997,2.35831,2,153,1.06,3,2718.672527690833,100.0,mars_2025
